gene_abbreviation,mapping_panel,trait,directory,file
GSL-OH,Brachi,G2H4P,output_gwas_assocs_lmm/brachi_full/blup_aliphatic_assoc/,lmm_maf03_BlupG2H4P.assoc.fixed.txt
GSL-OH,Katz,ratio17,output_gwas_assocs_lmm/katz_full/ratio_aliphatic_assoc/,lmm_maf03_ratio17.assoc.fixed.txt
GSL-OH,Wu,G2H3Bpm,output_gwas_assocs_lmm/wu_full/blup_aliphatic_assoc/,lmm_maf03_G2H3Bpm.assoc.fixed.txt
GSL-OH,TOU,ratio17,output_gwas_assocs_lmm/toua_FrachonGenoMiss10/ratio_aliphatic_assoc/,lmm_maf03_ratio17.assoc.fixed.txt
AOP2,Brachi,G3HP,output_gwas_assocs_lmm/brachi_full/blup_aliphatic_assoc/,lmm_maf03_BlupG3HP.assoc.fixed.txt
AOP2,Katz,G2P,output_gwas_assocs_lmm/katz_full/blup_aliphatic_assoc/,lmm_maf03_BlupG2P.assoc.fixed.txt
AOP2,Wu,G3HPpm,output_gwas_assocs_lmm/wu_full/blup_aliphatic_assoc/,lmm_maf03_G3HPpm.assoc.fixed.txt
AOP2,TOU,ratio15,output_gwas_assocs_lmm/toua_FrachonGenoMiss10/ratio_aliphatic_assoc/,lmm_maf03_ratio15.assoc.fixed.txt
MAM1,Brachi,ratio7,output_gwas_assocs_lmm/brachi_full/ratio_aliphatic_assoc/,lmm_maf03_ratio7.assoc.fixed.txt
MAM1,Katz,G4MTB,output_gwas_assocs_lmm/katz_full/blup_aliphatic_assoc/,lmm_maf03_BlupG4MTB.assoc.fixed.txt
MAM1,Wu,G5MSPnm,output_gwas_assocs_lmm/wu_full/blup_aliphatic_assoc/,lmm_maf03_G5MSPnm.assoc.fixed.txt
MAM1,TOU,ratio2,output_gwas_assocs_lmm/toua_FrachonGenoMiss10/ratio_aliphatic_assoc/,lmm_maf03_ratio2.assoc.txt
CYP79F2,Katz,G3HP,output_gwas_assocs_lmm/katz_full/blup_aliphatic_assoc/,lmm_maf03_BlupG3HP.assoc.fixed.txt
CYP79F2,TOU,ratio13,output_gwas_assocs_lmm/toua_FrachonGenoMiss10/ratio_aliphatic_assoc/,lmm_maf03_ratio13.assoc.fixed.txt
FMOGS-OX1,TOU,G2H4P,output_gwas_assocs_lmm/toua_FrachonGenoMiss10/blup_aliphatic_assoc/,lmm_maf03_BlupG2H4P.assoc.fixed.txt
BCAT3,TOU,ratio10,output_gwas_assocs_lmm/toua_FrachonGenoMiss10/ratio_aliphatic_assoc/,lmm_maf03_ratio10.assoc.fixed.txt
CYP83A1,TOU,G2H4P,output_gwas_assocs_lmm/toua_FrachonGenoMiss10/blup_aliphatic_assoc/,lmm_maf03_BlupG2H4P.assoc.fixed.txt
IGMT2,TOU,ratio21,output_gwas_assocs_lmm/toua_FrachonGenoMiss10/ratio_indolic_assoc/,lmm_maf03_ratio21.assoc.fixed.txt
CYP81F4,TOU,mvlmm,output_gwas_assocs_lmm/toua_FrachonGenoMiss10/,mvlmmA_maf03.assoc.fixed.txt
CYP81F2,TOU,mvlmm,output_gwas_assocs_lmm/toua_FrachonGenoMiss10/,mvlmmA_maf03.assoc.fixed.txt
CYP81F2,Wu,ratio19,output_gwas_assocs_lmm/wu_full/ratio_indolic_assoc/,lmm_maf03_ratio19.assoc.fixed.txt